Asset No	Capitalized On	Asset Description	S/N	Barcode Name
310004-0	17/02/2020	Digital Chair Scale  D-SCALE A28E Double Display Capacity 300 kg	12120200801	310004-0 / Digital Chair Scale  D-SCALE A28E Double Display Capacity 300 kg
310005-0	27/02/2020	Deltamas Temporary Office's Furniture 	-	310005-0 / Deltamas Temporary Office's Furniture 
310007-0	19/03/2020	Filling Cabinet Modera MH-588	-	310007-0 / Filling Cabinet Modera MH-588
310008-0	31/08/2020	Intermec Printer with Thermal Transfer	298C1630050	310008-0 / Intermec Printer with Thermal Transfer
310009-0	31/08/2020	Canon Power Shot Digital Camera	8,78E+11	310009-0 / Canon Power Shot Digital Camera
310010-0	30/09/2020	Renz Binding Machine	-	310010-0 / Renz Binding Machine
310011-0	30/09/2020	Renz Binding Machine	-	310011-0 / Renz Binding Machine
310012-0	30/09/2020	Back & Leg Dynamometer	-	310012-0 / Back & Leg Dynamometer
310013-0	30/11/2020	Samsung 55" Smart TV 4K UHD	0A763NDN700246K	310013-0 / Samsung 55" Smart TV 4K UHD
310014-0	31/10/2020	File Cabinet	-	310014-0 / File Cabinet
310015-0	31/10/2020	File Cabinet	-	310015-0 / File Cabinet
310016-0	31/10/2020	File Cabinet	-	310016-0 / File Cabinet
310017-0	31/10/2020	File Cabinet	-	310017-0 / File Cabinet
310018-0	31/10/2020	CANON Digital Camera IXUS 190	68064000543	310018-0 / CANON Digital Camera IXUS 190
310019-0	31/10/2020	CANON Digital Camera IXUS 190	68064000544	310019-0 / CANON Digital Camera IXUS 190
310020-0	31/10/2020	Samsung Refrigerator 2 Doors	-	310020-0 / Samsung Refrigerator 2 Doors
310021-0	31/10/2020	CAS HDI Bench Scale	-	310021-0 / CAS HDI Bench Scale
310022-0	31/10/2020	CAS HDI Bench Scale	-	310022-0 / CAS HDI Bench Scale
310024-0	30/11/2020	BROTHER Label Printer PT-P950NW	-	310024-0 / BROTHER Label Printer PT-P950NW
310025-0	30/11/2020	File Cabinet	-	310025-0 / File Cabinet
310026-0	30/11/2020	File Cabinet	-	310026-0 / File Cabinet
310028-0	30/04/2021	Tool Cabinet UK 1500x1200x50	-	310028-0 / Tool Cabinet UK 1500x1200x50
310029-0	30/04/2021	Mobile Tool Drawer	-	310029-0 / Mobile Tool Drawer
310030-0	30/04/2021	Mobile Tool Drawer (2)	-	310030-0 / Mobile Tool Drawer (2)
310031-0	30/04/2021	Tool Box Cabinet 'Custom' 1500x1200x500	-	310031-0 / Tool Box Cabinet 'Custom' 1500x1200x500
310032-0	30/04/2021	Tool Box Cabinet 'Custom' 1500x1200x500 (2)	-	310032-0 / Tool Box Cabinet 'Custom' 1500x1200x500 (2)
310033-0	30/04/2021	Standing White Board 2400x1200 Double Face 	-	310033-0 / Standing White Board 2400x1200 Double Face 
310034-0	30/04/2021	Standing White Board 2400x1200 Double Face (2)	-	310034-0 / Standing White Board 2400x1200 Double Face (2)
310035-0	30/04/2021	Rack Tools Size 1000 mm Length x 800 mm Height	-	310035-0 / Rack Tools Size 1000 mm Length x 800 mm Height
310036-0	30/04/2021	Rack Tools Size 1000 mm Length x 800 mm Height (2)	-	310036-0 / Rack Tools Size 1000 mm Length x 800 mm Height (2)
310037-0	30/04/2021	Work Table Drawer 1800x750x800 mm 	-	310037-0 / Work Table Drawer 1800x750x800 mm 
310038-0	30/04/2021	Work Table Drawer 1800x750x800 mm (2)	-	310038-0 / Work Table Drawer 1800x750x800 mm (2)
310039-0	30/04/2021	Training Board	-	310039-0 / Training Board
310040-0	30/04/2021	Training Board (2)	-	310040-0 / Training Board (2)
310041-0	30/04/2021	Part Rack	-	310041-0 / Part Rack
310042-0	30/04/2021	Part Rack 2	-	310042-0 / Part Rack 2
310043-0	30/04/2021	Part Rack 3	-	310043-0 / Part Rack 3
310044-0	30/04/2021	Part Rack 4	-	310044-0 / Part Rack 4
310045-0	30/04/2021	Part Rack 5	-	310045-0 / Part Rack 5
310046-0	30/04/2021	Part Rack 6	-	310046-0 / Part Rack 6
310047-0	30/04/2021	Part Rack 7	-	310047-0 / Part Rack 7
310048-0	30/04/2021	Part Rack 8	-	310048-0 / Part Rack 8
310049-0	30/04/2021	Door Working Table	-	310049-0 / Door Working Table
